"Index","rank1","rank2","rank3","rank4"
"WH307","DOREL B. KYNASTON","skipped","skipped","skipped"
"WH308","CODY CHAMBERLAIN","JANET LUNT","DOREL B. KYNASTON","TOBY M. HARDING"
"WH309","JANET LUNT","DOREL B. KYNASTON","TOBY M. HARDING","CODY CHAMBERLAIN"
"WH310","JANET LUNT","DOREL B. KYNASTON","CODY CHAMBERLAIN","TOBY M. HARDING"
"WH311","DOREL B. KYNASTON","TOBY M. HARDING","JANET LUNT","CODY CHAMBERLAIN"
"WH312","DOREL B. KYNASTON","TOBY M. HARDING","JANET LUNT","CODY CHAMBERLAIN"
"WH313","JANET LUNT","TOBY M. HARDING","DOREL B. KYNASTON","CODY CHAMBERLAIN"
"WH314","DOREL B. KYNASTON","CODY CHAMBERLAIN","JANET LUNT","TOBY M. HARDING"
"WH315","TOBY M. HARDING","JANET LUNT","CODY CHAMBERLAIN","DOREL B. KYNASTON"
"WH316","TOBY M. HARDING","CODY CHAMBERLAIN","JANET LUNT","skipped"
"WH317","TOBY M. HARDING","JANET LUNT","DOREL B. KYNASTON","CODY CHAMBERLAIN"
"WH318","DOREL B. KYNASTON","CODY CHAMBERLAIN","TOBY M. HARDING","JANET LUNT"
"WH319","TOBY M. HARDING","skipped","skipped","skipped"
"WH320","JANET LUNT","DOREL B. KYNASTON","skipped","skipped"
"WH321","TOBY M. HARDING","skipped","skipped","skipped"
"WH322","TOBY M. HARDING","JANET LUNT","DOREL B. KYNASTON","CODY CHAMBERLAIN"
"WH323","JANET LUNT","CODY CHAMBERLAIN","DOREL B. KYNASTON","TOBY M. HARDING"
"WH324","JANET LUNT","DOREL B. KYNASTON","CODY CHAMBERLAIN","TOBY M. HARDING"
"WH325","JANET LUNT","CODY CHAMBERLAIN","DOREL B. KYNASTON","TOBY M. HARDING"
"WH326","JANET LUNT","CODY CHAMBERLAIN","DOREL B. KYNASTON","TOBY M. HARDING"
"WH327","JANET LUNT","CODY CHAMBERLAIN","skipped","skipped"
"WH328","JANET LUNT","DOREL B. KYNASTON","TOBY M. HARDING","CODY CHAMBERLAIN"
"WH329","JANET LUNT","skipped","skipped","skipped"
"WH330","JANET LUNT","DOREL B. KYNASTON","skipped","skipped"
"WH331","JANET LUNT","DOREL B. KYNASTON","skipped","skipped"
"WH332","TOBY M. HARDING","skipped","skipped","skipped"
"WH333","CODY CHAMBERLAIN","JANET LUNT","DOREL B. KYNASTON","TOBY M. HARDING"
"WH334","TOBY M. HARDING","JANET LUNT","DOREL B. KYNASTON","CODY CHAMBERLAIN"
"WH335","TOBY M. HARDING","JANET LUNT","DOREL B. KYNASTON","CODY CHAMBERLAIN"
"WH336","TOBY M. HARDING","JANET LUNT","DOREL B. KYNASTON","CODY CHAMBERLAIN"
"WH337","CODY CHAMBERLAIN","JANET LUNT","DOREL B. KYNASTON","TOBY M. HARDING"
"WH338","JANET LUNT","DOREL B. KYNASTON","TOBY M. HARDING","CODY CHAMBERLAIN"
"WH339","JANET LUNT","CODY CHAMBERLAIN","DOREL B. KYNASTON","CODY CHAMBERLAIN"
"WH340","DOREL B. KYNASTON","TOBY M. HARDING","CODY CHAMBERLAIN","JANET LUNT"
"WH341","JANET LUNT","CODY CHAMBERLAIN","DOREL B. KYNASTON","TOBY M. HARDING"
"WH342","TOBY M. HARDING","DOREL B. KYNASTON","CODY CHAMBERLAIN","JANET LUNT"
"WH343","TOBY M. HARDING","skipped","skipped","skipped"
"WH344","JANET LUNT","CODY CHAMBERLAIN","DOREL B. KYNASTON","TOBY M. HARDING"
"WH345","JANET LUNT","CODY CHAMBERLAIN","DOREL B. KYNASTON","skipped"
"WH346","JANET LUNT","TOBY M. HARDING","DOREL B. KYNASTON","CODY CHAMBERLAIN"
"WH347","CODY CHAMBERLAIN","JANET LUNT","skipped","skipped"
"WH348","DOREL B. KYNASTON","JANET LUNT","skipped","skipped"
"WH349","JANET LUNT","CODY CHAMBERLAIN","DOREL B. KYNASTON","TOBY M. HARDING"
"WH350","JANET LUNT","TOBY M. HARDING","DOREL B. KYNASTON","CODY CHAMBERLAIN"
"WH351","JANET LUNT","CODY CHAMBERLAIN","DOREL B. KYNASTON","TOBY M. HARDING"
"WH352","TOBY M. HARDING","skipped","skipped","skipped"
"WH353","TOBY M. HARDING","skipped","skipped","skipped"
"WH354","JANET LUNT","TOBY M. HARDING","DOREL B. KYNASTON","CODY CHAMBERLAIN"
"WH355","TOBY M. HARDING","JANET LUNT","skipped","skipped"
"WH356","DOREL B. KYNASTON","JANET LUNT","TOBY M. HARDING","CODY CHAMBERLAIN"
"WH357","JANET LUNT","CODY CHAMBERLAIN","DOREL B. KYNASTON","skipped"
"WH358","TOBY M. HARDING","CODY CHAMBERLAIN","JANET LUNT","skipped"
"WH359","JANET LUNT","DOREL B. KYNASTON","CODY CHAMBERLAIN","TOBY M. HARDING"
"WH360","JANET LUNT","skipped","skipped","skipped"
"WH361","JANET LUNT","DOREL B. KYNASTON","skipped","skipped"
"WH362","TOBY M. HARDING","CODY CHAMBERLAIN","DOREL B. KYNASTON","JANET LUNT"
"WH363","CODY CHAMBERLAIN","TOBY M. HARDING","JANET LUNT","DOREL B. KYNASTON"
"WH364","TOBY M. HARDING","CODY CHAMBERLAIN","DOREL B. KYNASTON","JANET LUNT"
"WH365","TOBY M. HARDING","DOREL B. KYNASTON","JANET LUNT","CODY CHAMBERLAIN"
"WH366","JANET LUNT","DOREL B. KYNASTON","skipped","skipped"
"WH367","TOBY M. HARDING","CODY CHAMBERLAIN","DOREL B. KYNASTON","skipped"
"WH368","JANET LUNT","DOREL B. KYNASTON","skipped","skipped"
"WH369","TOBY M. HARDING","CODY CHAMBERLAIN","DOREL B. KYNASTON","JANET LUNT"
"WH370","JANET LUNT","DOREL B. KYNASTON","skipped","skipped"
"WH371","TOBY M. HARDING","CODY CHAMBERLAIN","skipped","skipped"
"WH372","JANET LUNT","DOREL B. KYNASTON","skipped","skipped"
"WH373","DOREL B. KYNASTON","JANET LUNT","CODY CHAMBERLAIN","TOBY M. HARDING"
"WH374","DOREL B. KYNASTON","JANET LUNT","CODY CHAMBERLAIN","skipped"
"WH375","JANET LUNT","CODY CHAMBERLAIN","DOREL B. KYNASTON","TOBY M. HARDING"
"WH376","overvote","skipped","skipped","skipped"
"WH377","JANET LUNT","CODY CHAMBERLAIN","DOREL B. KYNASTON","TOBY M. HARDING"
"WH378","JANET LUNT","TOBY M. HARDING","CODY CHAMBERLAIN","DOREL B. KYNASTON"
"WH379","JANET LUNT","CODY CHAMBERLAIN","DOREL B. KYNASTON","TOBY M. HARDING"
"WH380","TOBY M. HARDING","CODY CHAMBERLAIN","JANET LUNT","DOREL B. KYNASTON"
"WH381","CODY CHAMBERLAIN","JANET LUNT","TOBY M. HARDING","DOREL B. KYNASTON"
"WH382","JANET LUNT","TOBY M. HARDING","CODY CHAMBERLAIN","DOREL B. KYNASTON"
"WH383","DOREL B. KYNASTON","TOBY M. HARDING","JANET LUNT","CODY CHAMBERLAIN"
"WH384","CODY CHAMBERLAIN","skipped","skipped","skipped"
"WH385","JANET LUNT","DOREL B. KYNASTON","CODY CHAMBERLAIN","skipped"
"WH386","CODY CHAMBERLAIN","JANET LUNT","TOBY M. HARDING","DOREL B. KYNASTON"
"WH387","JANET LUNT","CODY CHAMBERLAIN","DOREL B. KYNASTON","TOBY M. HARDING"
"WH388","JANET LUNT","CODY CHAMBERLAIN","DOREL B. KYNASTON","skipped"
"WH389","TOBY M. HARDING","CODY CHAMBERLAIN","DOREL B. KYNASTON","JANET LUNT"
"WH390","JANET LUNT","DOREL B. KYNASTON","CODY CHAMBERLAIN","TOBY M. HARDING"
"WH391","DOREL B. KYNASTON","JANET LUNT","TOBY M. HARDING","CODY CHAMBERLAIN"
"WH392","TOBY M. HARDING","CODY CHAMBERLAIN","DOREL B. KYNASTON","JANET LUNT"
"WH393","JANET LUNT","DOREL B. KYNASTON","CODY CHAMBERLAIN","skipped"
"WH394","TOBY M. HARDING","CODY CHAMBERLAIN","JANET LUNT","skipped"
"WH395","JANET LUNT","TOBY M. HARDING","DOREL B. KYNASTON","CODY CHAMBERLAIN"
"WH396","JANET LUNT","TOBY M. HARDING","DOREL B. KYNASTON","CODY CHAMBERLAIN"
"WH397","DOREL B. KYNASTON","TOBY M. HARDING","CODY CHAMBERLAIN","JANET LUNT"
"WH398","DOREL B. KYNASTON","JANET LUNT","CODY CHAMBERLAIN","TOBY M. HARDING"
"WH399","JANET LUNT","DOREL B. KYNASTON","TOBY M. HARDING","CODY CHAMBERLAIN"
"WH400","JANET LUNT","CODY CHAMBERLAIN","DOREL B. KYNASTON","skipped"
"WH401","TOBY M. HARDING","CODY CHAMBERLAIN","DOREL B. KYNASTON","JANET LUNT"
"WH402","TOBY M. HARDING","skipped","skipped","skipped"
"WH403","TOBY M. HARDING","JANET LUNT","CODY CHAMBERLAIN","DOREL B. KYNASTON"
"WH404","CODY CHAMBERLAIN","DOREL B. KYNASTON","TOBY M. HARDING","JANET LUNT"
"WH405","TOBY M. HARDING","CODY CHAMBERLAIN","DOREL B. KYNASTON","JANET LUNT"
"WH406","TOBY M. HARDING","skipped","skipped","skipped"
"WH407","TOBY M. HARDING","CODY CHAMBERLAIN","skipped","skipped"
"WH408","DOREL B. KYNASTON","JANET LUNT","CODY CHAMBERLAIN","TOBY M. HARDING"
"WH409","DOREL B. KYNASTON","JANET LUNT","CODY CHAMBERLAIN","TOBY M. HARDING"
"WH410","JANET LUNT","DOREL B. KYNASTON","CODY CHAMBERLAIN","skipped"
"WH411","DOREL B. KYNASTON","JANET LUNT","CODY CHAMBERLAIN","TOBY M. HARDING"
"WH412","JANET LUNT","TOBY M. HARDING","DOREL B. KYNASTON","CODY CHAMBERLAIN"
"WH413","JANET LUNT","CODY CHAMBERLAIN","TOBY M. HARDING","DOREL B. KYNASTON"
"WH414","DOREL B. KYNASTON","JANET LUNT","CODY CHAMBERLAIN","TOBY M. HARDING"
"WH415","TOBY M. HARDING","skipped","skipped","skipped"
"WH416","CODY CHAMBERLAIN","JANET LUNT","DOREL B. KYNASTON","skipped"
"WH417","DOREL B. KYNASTON","CODY CHAMBERLAIN","JANET LUNT","TOBY M. HARDING"
"WH418","JANET LUNT","CODY CHAMBERLAIN","DOREL B. KYNASTON","TOBY M. HARDING"
"WH419","DOREL B. KYNASTON","JANET LUNT","CODY CHAMBERLAIN","TOBY M. HARDING"
"WH420","TOBY M. HARDING","skipped","skipped","skipped"
"WH421","JANET LUNT","CODY CHAMBERLAIN","DOREL B. KYNASTON","TOBY M. HARDING"
"WH422","CODY CHAMBERLAIN","JANET LUNT","TOBY M. HARDING","DOREL B. KYNASTON"
"WH423","JANET LUNT","CODY CHAMBERLAIN","DOREL B. KYNASTON","TOBY M. HARDING"
"WH424","TOBY M. HARDING","CODY CHAMBERLAIN","JANET LUNT","DOREL B. KYNASTON"
"WH425","JANET LUNT","CODY CHAMBERLAIN","DOREL B. KYNASTON","TOBY M. HARDING"
"WH426","TOBY M. HARDING","CODY CHAMBERLAIN","JANET LUNT","DOREL B. KYNASTON"
"WH427","CODY CHAMBERLAIN","JANET LUNT","DOREL B. KYNASTON","JANET LUNT"
"WH428","DOREL B. KYNASTON","CODY CHAMBERLAIN","TOBY M. HARDING","JANET LUNT"
"WH429","JANET LUNT","CODY CHAMBERLAIN","TOBY M. HARDING","DOREL B. KYNASTON"
"WH430","TOBY M. HARDING","JANET LUNT","CODY CHAMBERLAIN","DOREL B. KYNASTON"
"WH431","TOBY M. HARDING","CODY CHAMBERLAIN","DOREL B. KYNASTON","JANET LUNT"
"WH432","TOBY M. HARDING","JANET LUNT","CODY CHAMBERLAIN","DOREL B. KYNASTON"
"WH433","JANET LUNT","CODY CHAMBERLAIN","TOBY M. HARDING","DOREL B. KYNASTON"
"WH434","JANET LUNT","CODY CHAMBERLAIN","DOREL B. KYNASTON","TOBY M. HARDING"
"WH435","TOBY M. HARDING","CODY CHAMBERLAIN","DOREL B. KYNASTON","JANET LUNT"
"WH436","TOBY M. HARDING","DOREL B. KYNASTON","JANET LUNT","CODY CHAMBERLAIN"
"WH437","DOREL B. KYNASTON","JANET LUNT","TOBY M. HARDING","CODY CHAMBERLAIN"
"WH438","JANET LUNT","TOBY M. HARDING","CODY CHAMBERLAIN","DOREL B. KYNASTON"
"WH439","DOREL B. KYNASTON","skipped","skipped","skipped"
"WH440","DOREL B. KYNASTON","JANET LUNT","TOBY M. HARDING","CODY CHAMBERLAIN"
"WH441","JANET LUNT","CODY CHAMBERLAIN","TOBY M. HARDING","DOREL B. KYNASTON"
"WH442","JANET LUNT","CODY CHAMBERLAIN","DOREL B. KYNASTON","TOBY M. HARDING"
"WH443","JANET LUNT","CODY CHAMBERLAIN","TOBY M. HARDING","DOREL B. KYNASTON"
"WH444","TOBY M. HARDING","CODY CHAMBERLAIN","skipped","skipped"
"WH445","DOREL B. KYNASTON","JANET LUNT","TOBY M. HARDING","CODY CHAMBERLAIN"
"WH446","JANET LUNT","DOREL B. KYNASTON","CODY CHAMBERLAIN","TOBY M. HARDING"
"WH447","TOBY M. HARDING","DOREL B. KYNASTON","JANET LUNT","skipped"
"WH448","TOBY M. HARDING","DOREL B. KYNASTON","CODY CHAMBERLAIN","JANET LUNT"
"WH449","JANET LUNT","CODY CHAMBERLAIN","skipped","skipped"
"WH450","JANET LUNT","DOREL B. KYNASTON","skipped","skipped"
"WH451","DOREL B. KYNASTON","JANET LUNT","skipped","skipped"
"WH452","TOBY M. HARDING","CODY CHAMBERLAIN","JANET LUNT","DOREL B. KYNASTON"
"WH453","TOBY M. HARDING","JANET LUNT","DOREL B. KYNASTON","skipped"
"WH454","JANET LUNT","TOBY M. HARDING","skipped","skipped"
"WH455","JANET LUNT","DOREL B. KYNASTON","TOBY M. HARDING","CODY CHAMBERLAIN"
"WH456","DOREL B. KYNASTON","TOBY M. HARDING","CODY CHAMBERLAIN","JANET LUNT"
"WH457","DOREL B. KYNASTON","JANET LUNT","TOBY M. HARDING","CODY CHAMBERLAIN"
"WH458","DOREL B. KYNASTON","CODY CHAMBERLAIN","JANET LUNT","skipped"
"WH459","TOBY M. HARDING","DOREL B. KYNASTON","CODY CHAMBERLAIN","JANET LUNT"
"WH460","JANET LUNT","DOREL B. KYNASTON","CODY CHAMBERLAIN","TOBY M. HARDING"
"WH461","DOREL B. KYNASTON","CODY CHAMBERLAIN","JANET LUNT","skipped"
"WH462","DOREL B. KYNASTON","JANET LUNT","TOBY M. HARDING","CODY CHAMBERLAIN"
"WH463","TOBY M. HARDING","skipped","skipped","skipped"
"WH464","DOREL B. KYNASTON","JANET LUNT","skipped","skipped"
"WH465","TOBY M. HARDING","CODY CHAMBERLAIN","DOREL B. KYNASTON","JANET LUNT"
"WH466","CODY CHAMBERLAIN","skipped","skipped","skipped"
"WH467","JANET LUNT","CODY CHAMBERLAIN","DOREL B. KYNASTON","TOBY M. HARDING"
"WH468","TOBY M. HARDING","skipped","skipped","skipped"
"WH469","TOBY M. HARDING","CODY CHAMBERLAIN","DOREL B. KYNASTON","JANET LUNT"
"WH470","TOBY M. HARDING","CODY CHAMBERLAIN","DOREL B. KYNASTON","JANET LUNT"
"WH471","CODY CHAMBERLAIN","JANET LUNT","DOREL B. KYNASTON","skipped"
"WH472","TOBY M. HARDING","CODY CHAMBERLAIN","DOREL B. KYNASTON","JANET LUNT"
"WH473","JANET LUNT","TOBY M. HARDING","CODY CHAMBERLAIN","DOREL B. KYNASTON"
"WH474","DOREL B. KYNASTON","TOBY M. HARDING","JANET LUNT","CODY CHAMBERLAIN"
"WH475","JANET LUNT","DOREL B. KYNASTON","TOBY M. HARDING","CODY CHAMBERLAIN"
"WH476","CODY CHAMBERLAIN","TOBY M. HARDING","JANET LUNT","DOREL B. KYNASTON"
"WH477","TOBY M. HARDING","JANET LUNT","CODY CHAMBERLAIN","skipped"
"WH478","TOBY M. HARDING","JANET LUNT","CODY CHAMBERLAIN","DOREL B. KYNASTON"
"WH479","TOBY M. HARDING","JANET LUNT","CODY CHAMBERLAIN","skipped"
"WH480","JANET LUNT","TOBY M. HARDING","CODY CHAMBERLAIN","DOREL B. KYNASTON"
"WH481","DOREL B. KYNASTON","TOBY M. HARDING","JANET LUNT","CODY CHAMBERLAIN"
"WH482","DOREL B. KYNASTON","skipped","skipped","skipped"
"WH483","DOREL B. KYNASTON","TOBY M. HARDING","CODY CHAMBERLAIN","skipped"
"WH484","DOREL B. KYNASTON","TOBY M. HARDING","JANET LUNT","CODY CHAMBERLAIN"
"WH485","TOBY M. HARDING","JANET LUNT","CODY CHAMBERLAIN","DOREL B. KYNASTON"
"WH486","JANET LUNT","TOBY M. HARDING","CODY CHAMBERLAIN","DOREL B. KYNASTON"
"WH487","TOBY M. HARDING","JANET LUNT","CODY CHAMBERLAIN","DOREL B. KYNASTON"
"WH488","TOBY M. HARDING","JANET LUNT","CODY CHAMBERLAIN","DOREL B. KYNASTON"
"WH489","TOBY M. HARDING","CODY CHAMBERLAIN","skipped","skipped"
"WH490","JANET LUNT","DOREL B. KYNASTON","TOBY M. HARDING","CODY CHAMBERLAIN"
"WH491","DOREL B. KYNASTON","JANET LUNT","skipped","skipped"
"WH492","DOREL B. KYNASTON","JANET LUNT","skipped","skipped"
"WH493","TOBY M. HARDING","skipped","skipped","skipped"
"WH494","DOREL B. KYNASTON","JANET LUNT","skipped","skipped"
"WH495","TOBY M. HARDING","CODY CHAMBERLAIN","JANET LUNT","DOREL B. KYNASTON"
"WH496","overvote","skipped","skipped","skipped"
"WH497","TOBY M. HARDING","DOREL B. KYNASTON","skipped","skipped"
"WH498","DOREL B. KYNASTON","CODY CHAMBERLAIN","JANET LUNT","TOBY M. HARDING"
"WH499","TOBY M. HARDING","JANET LUNT","DOREL B. KYNASTON","CODY CHAMBERLAIN"
"WH500","overvote","skipped","skipped","skipped"
"WH501","DOREL B. KYNASTON","CODY CHAMBERLAIN","TOBY M. HARDING","JANET LUNT"
"WH502","DOREL B. KYNASTON","JANET LUNT","skipped","skipped"
"WH503","DOREL B. KYNASTON","CODY CHAMBERLAIN","JANET LUNT","TOBY M. HARDING"
"WH504","TOBY M. HARDING","DOREL B. KYNASTON","CODY CHAMBERLAIN","JANET LUNT"
"WH505","DOREL B. KYNASTON","JANET LUNT","TOBY M. HARDING","CODY CHAMBERLAIN"
"WH506","TOBY M. HARDING","JANET LUNT","DOREL B. KYNASTON","CODY CHAMBERLAIN"
"WH507","TOBY M. HARDING","DOREL B. KYNASTON","JANET LUNT","CODY CHAMBERLAIN"
"WH508","TOBY M. HARDING","skipped","JANET LUNT","DOREL B. KYNASTON"
"WH509","JANET LUNT","CODY CHAMBERLAIN","DOREL B. KYNASTON","skipped"
"WH510","DOREL B. KYNASTON","CODY CHAMBERLAIN","JANET LUNT","TOBY M. HARDING"
"WH511","JANET LUNT","CODY CHAMBERLAIN","DOREL B. KYNASTON","skipped"
"WH512","JANET LUNT","TOBY M. HARDING","CODY CHAMBERLAIN","DOREL B. KYNASTON"
"WH513","overvote","skipped","skipped","skipped"
"WH514","JANET LUNT","CODY CHAMBERLAIN","DOREL B. KYNASTON","skipped"
"WH515","CODY CHAMBERLAIN","skipped","skipped","skipped"
"WH516","DOREL B. KYNASTON","TOBY M. HARDING","JANET LUNT","CODY CHAMBERLAIN"
"WH517","DOREL B. KYNASTON","JANET LUNT","TOBY M. HARDING","CODY CHAMBERLAIN"
"WH518","DOREL B. KYNASTON","JANET LUNT","skipped","skipped"
"WH519","CODY CHAMBERLAIN","JANET LUNT","skipped","skipped"
"WH520","JANET LUNT","DOREL B. KYNASTON","CODY CHAMBERLAIN","TOBY M. HARDING"
"WH521","TOBY M. HARDING","CODY CHAMBERLAIN","DOREL B. KYNASTON","JANET LUNT"
"WH522","JANET LUNT","DOREL B. KYNASTON","CODY CHAMBERLAIN","TOBY M. HARDING"
"WH523","DOREL B. KYNASTON","TOBY M. HARDING","CODY CHAMBERLAIN","JANET LUNT"
"WH524","JANET LUNT","DOREL B. KYNASTON","CODY CHAMBERLAIN","TOBY M. HARDING"
"WH525","JANET LUNT","TOBY M. HARDING","CODY CHAMBERLAIN","DOREL B. KYNASTON"
"WH526","JANET LUNT","DOREL B. KYNASTON","CODY CHAMBERLAIN","TOBY M. HARDING"
"WH527","JANET LUNT","DOREL B. KYNASTON","CODY CHAMBERLAIN","TOBY M. HARDING"
"WH528","JANET LUNT","DOREL B. KYNASTON","CODY CHAMBERLAIN","skipped"
"WH529","JANET LUNT","TOBY M. HARDING","CODY CHAMBERLAIN","DOREL B. KYNASTON"
"WH530","TOBY M. HARDING","DOREL B. KYNASTON","CODY CHAMBERLAIN","JANET LUNT"
"WH531","JANET LUNT","CODY CHAMBERLAIN","DOREL B. KYNASTON","skipped"
"WH532","JANET LUNT","CODY CHAMBERLAIN","DOREL B. KYNASTON","skipped"
"WH533","JANET LUNT","TOBY M. HARDING","CODY CHAMBERLAIN","DOREL B. KYNASTON"
"WH534","DOREL B. KYNASTON","JANET LUNT","CODY CHAMBERLAIN","skipped"
"WH535","JANET LUNT","DOREL B. KYNASTON","skipped","skipped"
"WH536","TOBY M. HARDING","CODY CHAMBERLAIN","skipped","skipped"
"WH537","DOREL B. KYNASTON","JANET LUNT","CODY CHAMBERLAIN","TOBY M. HARDING"
"WH538","JANET LUNT","TOBY M. HARDING","CODY CHAMBERLAIN","DOREL B. KYNASTON"
"WH539","CODY CHAMBERLAIN","JANET LUNT","DOREL B. KYNASTON","TOBY M. HARDING"
"WH540","JANET LUNT","DOREL B. KYNASTON","TOBY M. HARDING","CODY CHAMBERLAIN"
"WH541","TOBY M. HARDING","CODY CHAMBERLAIN","JANET LUNT","DOREL B. KYNASTON"
"WH542","JANET LUNT","TOBY M. HARDING","skipped","skipped"
"WH543","JANET LUNT","CODY CHAMBERLAIN","DOREL B. KYNASTON","skipped"
"WH544","CODY CHAMBERLAIN","TOBY M. HARDING","DOREL B. KYNASTON","JANET LUNT"
"WH545","JANET LUNT","CODY CHAMBERLAIN","DOREL B. KYNASTON","TOBY M. HARDING"
"WH546","JANET LUNT","skipped","skipped","skipped"
"WH547","TOBY M. HARDING","JANET LUNT","CODY CHAMBERLAIN","DOREL B. KYNASTON"
"WH548","JANET LUNT","DOREL B. KYNASTON","CODY CHAMBERLAIN","TOBY M. HARDING"
"WH549","TOBY M. HARDING","DOREL B. KYNASTON","JANET LUNT","CODY CHAMBERLAIN"
"WH550","TOBY M. HARDING","CODY CHAMBERLAIN","JANET LUNT","DOREL B. KYNASTON"
"WH551","JANET LUNT","CODY CHAMBERLAIN","DOREL B. KYNASTON","TOBY M. HARDING"
"WH552","CODY CHAMBERLAIN","JANET LUNT","DOREL B. KYNASTON","TOBY M. HARDING"
"WH553","overvote","skipped","skipped","skipped"
"WH554","JANET LUNT","DOREL B. KYNASTON","CODY CHAMBERLAIN","skipped"
"WH555","DOREL B. KYNASTON","TOBY M. HARDING","JANET LUNT","CODY CHAMBERLAIN"
"WH556","TOBY M. HARDING","DOREL B. KYNASTON","CODY CHAMBERLAIN","JANET LUNT"
"WH557","JANET LUNT","CODY CHAMBERLAIN","DOREL B. KYNASTON","TOBY M. HARDING"
"WH558","TOBY M. HARDING","CODY CHAMBERLAIN","DOREL B. KYNASTON","JANET LUNT"
"WH559","DOREL B. KYNASTON","JANET LUNT","TOBY M. HARDING","CODY CHAMBERLAIN"
"WH560","JANET LUNT","CODY CHAMBERLAIN","TOBY M. HARDING","DOREL B. KYNASTON"
"WH561","JANET LUNT","DOREL B. KYNASTON","skipped","skipped"
"WH562","JANET LUNT","TOBY M. HARDING","DOREL B. KYNASTON","CODY CHAMBERLAIN"
"WH563","JANET LUNT","DOREL B. KYNASTON","skipped","skipped"
"WH564","JANET LUNT","DOREL B. KYNASTON","CODY CHAMBERLAIN","skipped"
"WH565","DOREL B. KYNASTON","JANET LUNT","skipped","skipped"
"WH566","JANET LUNT","DOREL B. KYNASTON","TOBY M. HARDING","skipped"
"WH567","DOREL B. KYNASTON","JANET LUNT","skipped","skipped"
"WH568","JANET LUNT","DOREL B. KYNASTON","skipped","skipped"
"WH569","DOREL B. KYNASTON","JANET LUNT","skipped","skipped"
"WH570","JANET LUNT","DOREL B. KYNASTON","CODY CHAMBERLAIN","TOBY M. HARDING"
"WH571","DOREL B. KYNASTON","JANET LUNT","CODY CHAMBERLAIN","TOBY M. HARDING"
"WH572","DOREL B. KYNASTON","JANET LUNT","skipped","skipped"
"WH573","DOREL B. KYNASTON","JANET LUNT","skipped","skipped"
"WH574","TOBY M. HARDING","DOREL B. KYNASTON","JANET LUNT","CODY CHAMBERLAIN"
"WH575","TOBY M. HARDING","skipped","skipped","skipped"
"WH576","JANET LUNT","CODY CHAMBERLAIN","TOBY M. HARDING","DOREL B. KYNASTON"
"WH577","TOBY M. HARDING","CODY CHAMBERLAIN","JANET LUNT","DOREL B. KYNASTON"
"WH578","DOREL B. KYNASTON","TOBY M. HARDING","JANET LUNT","CODY CHAMBERLAIN"
"WH579","DOREL B. KYNASTON","JANET LUNT","skipped","skipped"
"WH580","TOBY M. HARDING","skipped","skipped","skipped"
"WH581","DOREL B. KYNASTON","JANET LUNT","skipped","skipped"
"WH582","TOBY M. HARDING","skipped","skipped","skipped"
"WH583","CODY CHAMBERLAIN","TOBY M. HARDING","JANET LUNT","DOREL B. KYNASTON"
"WH584","JANET LUNT","CODY CHAMBERLAIN","DOREL B. KYNASTON","TOBY M. HARDING"
"WH585","TOBY M. HARDING","CODY CHAMBERLAIN","JANET LUNT","DOREL B. KYNASTON"
"WH586","TOBY M. HARDING","CODY CHAMBERLAIN","JANET LUNT","DOREL B. KYNASTON"
"WH587","JANET LUNT","DOREL B. KYNASTON","TOBY M. HARDING","CODY CHAMBERLAIN"
"WH588","CODY CHAMBERLAIN","TOBY M. HARDING","DOREL B. KYNASTON","JANET LUNT"
"WH589","TOBY M. HARDING","skipped","skipped","skipped"
"WH590","CODY CHAMBERLAIN","JANET LUNT","DOREL B. KYNASTON","TOBY M. HARDING"
"WH591","JANET LUNT","TOBY M. HARDING","CODY CHAMBERLAIN","DOREL B. KYNASTON"
"WH592","JANET LUNT","CODY CHAMBERLAIN","DOREL B. KYNASTON","TOBY M. HARDING"
"WH593","JANET LUNT","TOBY M. HARDING","CODY CHAMBERLAIN","DOREL B. KYNASTON"
"WH594","JANET LUNT","skipped","skipped","skipped"
"WH595","JANET LUNT","skipped","skipped","skipped"
"WH596","JANET LUNT","skipped","skipped","skipped"
"WH597","JANET LUNT","skipped","skipped","skipped"
"WH598","JANET LUNT","DOREL B. KYNASTON","skipped","skipped"
"WH599","JANET LUNT","DOREL B. KYNASTON","skipped","skipped"
"WH600","JANET LUNT","DOREL B. KYNASTON","CODY CHAMBERLAIN","TOBY M. HARDING"
"WH601","JANET LUNT","DOREL B. KYNASTON","CODY CHAMBERLAIN","TOBY M. HARDING"
"WH602","DOREL B. KYNASTON","TOBY M. HARDING","skipped","skipped"
"WH603","JANET LUNT","DOREL B. KYNASTON","TOBY M. HARDING","skipped"
"WH604","JANET LUNT","CODY CHAMBERLAIN","skipped","skipped"
"WH605","JANET LUNT","CODY CHAMBERLAIN","skipped","skipped"
"WH606","DOREL B. KYNASTON","JANET LUNT","skipped","skipped"
"WH607","DOREL B. KYNASTON","TOBY M. HARDING","JANET LUNT","CODY CHAMBERLAIN"
"WH608","DOREL B. KYNASTON","TOBY M. HARDING","skipped","skipped"
"WH609","CODY CHAMBERLAIN","JANET LUNT","DOREL B. KYNASTON","skipped"
"WH610","JANET LUNT","TOBY M. HARDING","CODY CHAMBERLAIN","DOREL B. KYNASTON"
"WH611","JANET LUNT","DOREL B. KYNASTON","TOBY M. HARDING","CODY CHAMBERLAIN"
